Name,Intake date,Water date,Planted date,Sprouted date,Departure date,Outcome,Owner,Given on ,Notes,,,,,
Honey Tangerine 12,12/17/2023,,,,1/10/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 13,12/17/2023,,1/25/2024,1/31/2024,,Sprouted,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 14,12/17/2023,,1/25/2024,,2/24/2024,Dormant,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 15,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 16,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 17,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 18,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 19,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 20,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 21,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Honey Tangerine 22,12/17/2023,,,,1/25/2024,Discarded,,,"1-year gap since last ones is incidental, not deliberate",,,,,
Pineapple 0,11/27/2022,11/27/2022,,,12/4/2022,Dried out,,,Mom threw away,,,,,
Pineapple 1,12/24/2022,12/26/2022,,,1/19/2023,Rotted,,,"Bought Dec 18, Crown removed Dec 24, Sitting in water as of Dec 26",,,,,
Key Lime 5,12/27/2022,,1/16/2023,1/20/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Key Lime 6,12/27/2022,,1/16/2023,1/20/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Key Lime 7,12/27/2022,,1/16/2023,1/20/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Key Lime 8,12/27/2022,,1/16/2023,1/20/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Key Lime 9,12/27/2022,,1/1/2023,1/18/2023,9/15/2023,Transplant shock ,,,,,,,,
Key Lime 10,12/27/2022,,1/1/2023,1/18/2023,,Sprouted,,,,,,,,
Key Lime 11,12/27/2022,,2/3/2023,2/12/2023,2/19/2023,Discarded (ABQ move),,,,,,,,
Key Lime 12,12/27/2022,,2/3/2023,2/12/2023,2/19/2023,Discarded (ABQ move),,,,,,,,
Persimmon 1,12/27/2022,,12/27/2022,5/16/2023,,Sprouted,,,In whole foods gauzy tub,,,,,
Persimmon 2,12/27/2022,,1/1/2023,,6/10/2023,Dormant,,,,,,,,
Persimmon 3,12/27/2022,,1/1/2023,,6/10/2023,Dormant,,,,,,,,
Persimmon 4,12/27/2022,,1/1/2023,,6/10/2023,Dormant,,,,,,,,
Persimmon 5,12/27/2022,,1/1/2023,,6/10/2023,Dormant,,,,,,,,
Persimmon 6,12/27/2022,,1/1/2023,,6/10/2023,Dormant,,,,,,,,
Pink Lemon 3,12/28/2022,,12/31/2022,1/20/2023,,Sprouted,,,Planted before signs of germination.  In tub with 3 grapefruits.  Has three shoots,,,,,
Pink Lemon 3.5,12/28/2022,,12/31/2022,1/20/2023,5/14/2023,Unsure,,,Split off from Pink Lemon 3 on 5/7/23.  Didnt survive the transplant (why? it was clean and fine).  All leaves withering by 5/14,,,,,
Pink Lemon 4,12/28/2022,,5/25/2023,,6/12/2023,Unsure,,,"Acquired 12/28, but in bag 5/7/23.  Literally dont even know where this seed went",,,,,
Pineapple 2,12/29/2022,12/29/2022,,,1/19/2023,Rotted,,,"Found crown in checkout line trash (clean, just receipts in the mostly empty container) at HEB.  Plucked it out and brought it home",,,,,
Pineapple 3,5/27/2023,,5/27/2023,6/24/2023,,Sprouted,,,,,,,,
Medjool Date 10,1/4/2023,,1/28/2023,3/5/2023,9/15/2023,Dried out,,,adjusted from impossible sprouted date of 1/4 based on history of file,,,,,
Pomegranate 28,1/4/2023,,1/21/2023,1/26/2023,2/20/2023,Discarded (ABQ move),,,,,,,,
Pomegranate 29,1/4/2023,,1/21/2023,1/26/2023,,Sprouted,,,,,,,,
Pomegranate 30,1/4/2023,,1/28/2023,2/4/2023,2/20/2023,Dormant,,,Roots never took to soil,,,,,
Pomegranate 31,1/4/2023,,1/28/2023,2/1/2023,,Sprouted,,,,,,,,
Pomegranate 32,1/4/2023,,2/3/2023,2/9/2023,2/19/2023,Discarded (ABQ move),,,In oatmeal tub,,,,,
Pomegranate 33,1/4/2023,,2/3/2023,2/15/2023,2/19/2023,Discarded (ABQ move),,,In oatmeal tub,,,,,
Pomegranate 34,1/4/2023,,2/3/2023,,2/19/2023,Discarded (ABQ move),,,In oatmeal tub,,,,,
Avocado 9,1/28/2023,2/7/2023,,,2/28/2023,Pit broke,,,Found on sidewalk outside apartment,,,,,
Avocado 10,2/4/2023,4/1/2023,5/21/2023,4/13/2023,6/10/2023,Didn't adjust to narrow tube,,,Water date is based on 4/6/23 photo showing fresh copper wire reminding me that i put them in water the day i made their wire suspenders.  I got the wire on 4/1/2023,,,,,
Avocado 11,2/4/2023,4/1/2023,,5/12/2023,9/15/2023,Lack of light,,,,,,,,
Avocado 12,2/15/2023,4/1/2023,,5/1/2023,7/8/2023,Discarded,,,,,,,,
Avocado 13,3/20/2023,4/18/2023,5/21/2023,4/26/2023,6/10/2023,Didnt adjust to narrow tube,,,In water 4/18,,,,,
Avocado 14,3/19/2023,4/23/2023,,,5/9/2023,Rotted,,,In water 4/23,,,,,
Avocado 15,4/6/2023,,,,4/23/2023,Rotted in bag,,,"Found outside, some mold had already set in but did wash it",,,,,
Avocado 16,4/13/2023,4/27/2023,,5/12/2023,8/29/2023,Discarded,,,In water 4/27,,,,,
Avocado 17,4/6/2023,4/30/2023,,5/28/2023,10/15/2023,Lack of light,,,In water 4/30,,,,,
Avocado 21,4/27/2023,4/27/2023,,,6/28/2023,Dormant,,,In water 4/27,,,,,
Avocado 18,4/6/2023,4/30/2023,,5/21/2023,2/19/2024,Discarded,,,In water 4/30,,,,,
Avocado 19,4/13/2023,5/5/2023,,,5/21/2023,Dried out,,,IN water 5/5,,,,,
Avocado 20,4/7/2023,5/9/2023,,5/21/2023,7/8/2023,Discarded,,,In water 5/9,,,,,
Avocado 22,4/7/2023,5/6/2023,,5/24/2023,9/15/2023,Dried out,,,In water 5/6,,,,,
Avocado 23,5/5/2023,6/2/2023,,6/26/2023,9/15/2023,Dried out,,,,,,,,
Avocado 24,5/11/2023,,6/17/2023,7/8/2023,8/9/2023,Dried out,,,,,,,,
Avocado 25,5/13/2023,,6/17/2023,8/12/2023,,Sprouted,,,Not sure why this was marked as discarded (marked discarded on Aug 26).  It's alive and well.  Appears to have been transplanted into Avo24's tub,,,,,
Avocado 26,5/9/2023,6/28/2023,,,7/13/2023,Rotted,,,Something was off w its water bc it always smelled like anoxic shit,,,,,
Mango 24,1/28/2023,,,,2/15/2023,Unsure,,,"no baggie - sitting in bowl with jackfruits.  Ultimately nothing became of this, warped and split open",,,,,
Mango 25,2/6/2023,,,,2/14/2023,Unsure,,,Wet husk sitting on plate inside cabinet,,,,,
Poblano Pepper 1,1/30/2023,,2/14/2023,2/18/2023,,Sprouted,,,"In same tall plastic cup, will need to transplant",,,,,
Poblano Pepper 2,1/30/2023,,2/14/2023,2/18/2023,6/16/2023,Dried out,,,"In same tall plastic cup, will need to transplant",,,,,
Poblano Pepper 3,1/30/2023,,2/14/2023,2/19/2023,3/1/2023,Unsure,,,"In same tall plastic cup, will need to transplant",,,,,
Poblano Pepper 4,1/30/2023,,2/16/2023,,3/4/2023,Dormant,,,No sign of germination by 3/4,,,,,
Poblano Pepper 5,1/30/2023,,2/16/2023,,3/4/2023,Dormant,,,No sign of germination by 3/4,,,,,
Poblano Pepper 6,1/30/2023,,2/16/2023,2/19/2023,3/4/2023,Unsure,,,Was strong and good until i woke up 3/4 and found plant colalpsed / broken at stem,,,,,
Poblano Pepper 7,3/2/2023,,3/4/2023,4/1/2023,4/28/2023,Dried out,,,"all in same pot, will kill off some if needed.  Test to see if i need to use the heating pad to germinate",,,,,
Poblano Pepper 8,3/2/2023,,3/4/2023,4/7/2023,4/28/2023,Dried out,,,"all in same pot, will kill off some if needed.  Test to see if i need to use the heating pad to germinate",,,,,
Poblano Pepper 9,3/2/2023,,3/4/2023,5/5/2023,10/29/2023,Discarded,,,"all in same pot, will kill off some if needed.  Test to see if i need to use the heating pad to germinate",,,,,
Poblano Pepper 10,3/2/2023,,3/4/2023,,4/1/2023,Dormant,,,"all in same pot, will kill off some if needed.  Test to see if i need to use the heating pad to germinate",,,,,
Poblano Pepper 11,3/2/2023,,3/4/2023,3/19/2023,4/22/2023,Rotted,,,In same combined peanut butter pot.  Added beneficial nematodes even though they may have all died by this point.  After addition of granules across surface killed many poblanos in the peanut butter pot,,,,,
Poblano Pepper 12,3/2/2023,,3/4/2023,3/19/2023,4/22/2023,Rotted,,,In same combined peanut butter pot.  Added beneficial nematodes even though they may have all died by this point.  After addition of granules across surface killed many poblanos in the peanut butter pot,,,,,
Poblano Pepper 13,3/2/2023,,3/4/2023,3/19/2023,4/22/2023,Rotted,,,In same combined peanut butter pot.  Added beneficial nematodes even though they may have all died by this point.  After addition of granules across surface killed many poblanos in the peanut butter pot,,,,,
Poblano Pepper 14,3/2/2023,,3/4/2023,4/2/2023,4/27/2023,Rotted,,,In same combined peanut butter pot.  Added beneficial nematodes even though they may have all died by this point ,,,,,
Poblano Pepper 15,3/2/2023,,3/4/2023,4/1/2023,,Sprouted,,,"These extra 4 are added to account for the extras poblanos that sprouted despite not being accounted for, on the edges",,,,,
Poblano Pepper 16,3/2/2023,,3/4/2023,4/1/2023,4/27/2023,Rotted,,,"These extra 4 are added to account for the extras poblanos that sprouted despite not being accounted for, on the edges",,,,,
Poblano Pepper 17,3/2/2023,,3/4/2023,4/1/2023,4/27/2023,Rotted,,,"These extra 4 are added to account for the extras poblanos that sprouted despite not being accounted for, on the edges",,,,,
Poblano Pepper 18,3/2/2023,,3/4/2023,4/1/2023,4/27/2023,Rotted,,,"These extra 4 are added to account for the extras poblanos that sprouted despite not being accounted for, on the edges",,,,,
Pomegranate 35,1/4/2023,,1/15/2023,2/20/2023,,Sprouted,,,"in persimmon whole foods tub. However, not likely to go far beacuse i've kept seran wrap over it",,,,,
Pomegranate 36,7/2/2023,,7/21/2023,,8/4/2023,Dried out,,,Cutting from Las Vegas,,,,,
Pomegranate 37,7/2/2023,,7/21/2023,,8/4/2023,Dried out,,,Cutting from Las Vegas,,,,,
Pomegranate 38,1/7/2024,,1/25/2024,1/30/2024,,Sprouted,,,,,,,,
Mango 26,2/8/2023,,2/26/2023,3/5/2023,,Donated,Benjamin Kiesling,4/2/23,"Likely to give to Benjamin Kiesling.  This one is being timelapsed, starting 3/5/23",,,,,
Mango 27,2/8/2023,,2/26/2023,3/6/2023,,Donated,Benjamin Kiesling,4/2/23,Likely to give to Benjamin Kiesling,,,,,
Jackfruit 1,1/10/2023,1/10/2023,1/29/2023,,2/28/2023,Sun shock,,,Was doing fine until i put seran wrap over it in the heat of the day ,,,,,
Jackfruit 2,1/10/2023,1/10/2023,1/29/2023,3/20/2023,4/29/2023,Rotted,,,"In water 4/2/23, still not planted.  This was the one in the big pickle jar, which then rotted w larve in its tub.  I put it in soil before 2/6 (see photo from 2/6), but it must have gone back in water",,,,,
Jackfruit 3,1/10/2023,1/10/2023,1/29/2023,3/29/2023,5/2/2023,Stolen,,,"I think its soil was too dry for a while, putting cup over it to increase humidity 3/19.  Originally sprouted date said 1/29 but this can't be due to photo from 3/5 showing pit still sitting in soil.  Adjusted to 3/29",,,,,
Jackfruit 4,1/10/2023,1/10/2023,3/11/2023,2/20/2023,,Sprouted,,,"Sprouted in water, planted in soil as the shoot seemed to be doing well",,,,,
Jackfruit 5,1/10/2023,1/15/2023,4/30/2023,3/20/2023,,Sprouted,,,"In water 4/2/23, still not planted.  This is the one i did a timelapse of",,,,,
Jackfruit 6,1/10/2023,1/15/2023,5/21/2023,4/15/2023,6/4/2023,Rotted,,,"In water 4/2/23, still not planted.  This is the one with the stemless wineglass over its jar",,,,,
Jackfruit 7,1/10/2023,1/15/2023,,,4/2/2023,Rotted,,,"I believe this is the one i threw away when putting 2,5, and 6 in their jars",,,,,
Etrog 1,1/29/2023,,2/17/2023,2/20/2023,4/2/2023,Unsure,,,"Dried out despite getting plenty of water.  Assume when I was away in UT, its root had dried out and couldnt recover",,,,,
Etrog 2,1/29/2023,,2/17/2023,2/20/2023,,Sprouted,,,,,,,,
Etrog 3,1/29/2023,,2/26/2023,2/27/2023,2/28/2023,Sun shock,,,Was doing fine until i put seran wrap over it in the heat of the day ,,,,,
Etrog 4,1/29/2023,,3/11/2023,2/20/2023,,Sprouted,,,Planting another etrog in the same peanut butter tub that Etrog3 died in.  Might as well use the soil.  Just saying these sprouted in bag,,,,,
Etrog 5,1/29/2023,,3/19/2023,2/20/2023,,Sprouted,,,Just saying these sprouted in bag,,,,,
Etrog 6,1/29/2023,,3/19/2023,2/20/2023,1/18/2024,Rotted / Dried out,,,Just saying these sprouted in bag,,,,,
Etrog 7,1/29/2023,,4/3/2023,2/28/2023,,Sprouted,,,PLanted in same tub as #1,,,,,
Etrog 8,1/29/2023,,4/30/2023,2/28/2023,5/11/2023,Roots didnt take,,,"Just saying these sprouted in bag.  This one didnt take to soil very well, not 100% sure why",,,,,
Mango 28,4/10/2023,,,,4/27/2023,Rotted,,,"Slightly too moist, kinda crazy",,,,,
Mango 29,5/7/2023,,6/4/2023,,6/24/2023,Dormant,,,Was the one opened at picnic with fredi,,,,,
Mango 30,5/6/2023,,5/21/2023,,6/13/2023,Root stem rotted in soil,,,"This was the one opened night before picnic w fredi when prepping fruit.  non-important side of nut is broken off, may become infected.  Dug up 6/4 to discover root was rotted but pit overall still healthy.  Replanted it in same pot ",,,,,
Mango 31,5/9/2023,,5/21/2023,,6/12/2023,Rotted,,,Dug up 6/4 to discover root was rotted but pit overall still healthy.  returned to paper towel with root hormone,,,,,
Mango 32,11/19/2023,,,,11/25/2023,Rotted,,,"Found slight mold on outer husk, took out of husk and put in H202 paper towel",,,,,
Anaheim Pepper 1,4/30/2023,,5/5/2023,5/6/2023,7/10/2023,Unsure,,,In cup that Jalapeno Pepper 1 is in ,,,,,
Anaheim Pepper 2,4/30/2023,,5/5/2023,,5/20/2023,Dormant,,,,,,,,
Anaheim Pepper 3,4/30/2023,,5/5/2023,,5/20/2023,Dormant,,,,,,,,
Anaheim Pepper 4,4/30/2023,,5/5/2023,,5/20/2023,Dormant,,,,,,,,
Anaheim Pepper 5,4/30/2023,,5/5/2023,,5/20/2023,Dormant,,,,,,,,
Tomatillo 1,6/1/2023,,6/7/2023,6/11/2023,6/12/2023,Discarded,,,,,,,,
Tomatillo 2,6/1/2023,,6/7/2023,6/11/2023,6/12/2023,Discarded,,,,,,,,
Tomatillo 3,6/1/2023,,6/7/2023,6/11/2023,6/12/2023,Discarded,,,,,,,,
Tomatillo 4,6/1/2023,,6/7/2023,6/12/2023,6/19/2023,Discarded,,,,,,,,
Tomatillo 5,6/1/2023,,6/7/2023,6/12/2023,6/19/2023,Discarded,,,,,,,,
Tomatillo 6,6/1/2023,,6/7/2023,6/12/2023,11/15/2023,Cold shock,,,Transplanted into turmeric tub 7/8,,,,,
Tomatillo 7,6/1/2023,,6/7/2023,6/12/2023,1/20/2024,Cold shock,,,Transplanted into turmeric tub 7/8.  These were the last 4 to survive in the turmeric tub as of the January 2024 cold snap,,,,,
Tomatillo 8,6/1/2023,,6/7/2023,6/12/2023,,Sprouted,,,Only one in square tub.  Brought inside to avoid January 2024 cold snap,,,,,
Tomatillo 9,6/1/2023,,6/7/2023,6/12/2023,7/28/2023,discarded,,,"soil was way too compacted and dry, remixed soil and only kept one tomatillo",,,,,
Tomatillo 10,6/1/2023,,6/7/2023,6/12/2023,7/28/2023,Discarded,,,"soil was way too compacted and dry, remixed soil and only kept one tomatillo",,,,,
Tomatillo 11,6/1/2023,,6/7/2023,6/13/2023,11/3/2023,Cold shock,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 12,6/1/2023,,6/7/2023,6/13/2023,12/3/2023,Cold shock,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 13,6/1/2023,,6/7/2023,6/13/2023,1/20/2024,Cold shock,,,These are the four in the turmeric tub (Actually there's 10).  These were the last 4 to survive in the turmeric tub as of the January 2024 cold snap,,,,,
Tomatillo 14,6/1/2023,,6/7/2023,6/13/2023,1/20/2024,Cold shock,,,These are the four in the turmeric tub (Actually there's 10).  These were the last 4 to survive in the turmeric tub as of the January 2024 cold snap,,,,,
Tomatillo 15,6/1/2023,,6/7/2023,6/13/2023,1/20/2024,Cold shock,,,These are the four in the turmeric tub (Actually there's 10).  These were the last 4 to survive in the turmeric tub as of the January 2024 cold snap,,,,,
Tomatillo 16,6/1/2023,,6/7/2023,6/13/2023,7/11/2023,discarded,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 17,6/1/2023,,6/7/2023,6/13/2023,7/11/2023,discarded,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 18,6/1/2023,,6/7/2023,6/13/2023,7/11/2023,discarded,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 19,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,discarded,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 20,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,discarded,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 21,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,discarded,,,These are the four in the turmeric tub (Actually there's 10),,,,,
Tomatillo 22,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,Discarded,,,,,,,,
Tomatillo 23,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,Discarded,,,,,,,,
Tomatillo 24,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,Discarded,,,,,,,,
Tomatillo 25,6/1/2023,,6/7/2023,6/14/2023,7/11/2023,Discarded,,,,,,,,
Tomatillo 26,6/1/2023,,6/7/2023,6/14/2023,7/8/2023,Discarded,,,"Died during uprooting and trnasplanting 6,7 into turmeric tub ",,,,,
Tomatillo 28,6/1/2023,,6/7/2023,11/3/2023,12/1/2023,Cold shock,,,Sprouted after the first cold snap,,,,,
Tomatillo 27,6/1/2023,,,7/3/2023,7/8/2023,Discarded,,,This was the one in etrog2's tub,,,,,
Guava 10,5/7/2023,,5/26/2023,,6/15/2023,Dormant,,,These were just experiments to see if they will sprout outside paper towel  ,,,,,
Guava 11,5/7/2023,,5/26/2023,,6/15/2023,Dormant,,,These were just experiments to see if they will sprout outside paper towel  ,,,,,
Guava 12,5/7/2023,,5/26/2023,,6/15/2023,Dormant,,,These were just experiments to see if they will sprout outside paper towel  ,,,,,
Guava 13,5/7/2023,,5/26/2023,,6/15/2023,Dormant,,,These were just experiments to see if they will sprout outside paper towel  ,,,,,
Guava 14,5/7/2023,,5/26/2023,,6/15/2023,Dormant,,,These were just experiments to see if they will sprout outside paper towel  ,,,,,
Guava 15,5/23/2023,,6/12/2023,,7/5/2023,Dormant,,,This one had clear signs of germination - the thin white line coming out ,,,,,
Guava 16,5/23/2023,,6/13/2023,,7/5/2023,Dormant,,,In square mineral water tub,,,,,
Guava 17,5/23/2023,,6/13/2023,,7/5/2023,Dormant,,,In square mineral water tub,,,,,
Guava 18,5/23/2023,,6/13/2023,,7/5/2023,Dormant,,,In whole foods tub that used to contain pink mango 4,,,,,
Guava 19,5/23/2023,,6/16/2023,,7/5/2023,Dormant,,,,,,,,
Guava 20,5/24/2023,,7/5/2023,,7/14/2023,Rotted,,,,,,,,
Guava 21,5/24/2023,,7/23/2023,,8/23/2023,Dormant,,,,,,,,
Guava 22,7/14/2023,,8/11/2023,,9/11/2023,Dormant,,,,,,,,
Guava 23,7/14/2023,,10/20/2023,,10/29/2023,Discarded,,,probably germinated some time when I was in new mexico,,,,,
Guava 24,7/17/2023,,10/20/2023,,10/29/2023,Discarded,,,probably germinated some time when I was in new mexico,,,,,
Guava 25,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 26,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 27,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 28,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 29,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 30,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 31,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Guava 32,7/17/2023,,11/7/2023,,12/3/2023,Discarded,,,Planted all 8 which had decent shoots in the medjool date 2 peanut butter tub,,,,,
Manzano Pepper 1,6/8/2023,,6/21/2023,,7/5/2023,Dormant,,,,,,,,
Manzano Pepper 2,6/8/2023,,6/21/2023,,7/5/2023,Dormant,,,,,,,,
Manzano Pepper 3,6/8/2023,,7/5/2023,,7/20/2023,Dormant,,,In manzano 1's cup,,,,,
Manzano Pepper 4,6/8/2023,,7/5/2023,,7/20/2023,Dormant,,,in manzano2's cup,,,,,
Crepe Myrtle 1,6/24/2023,,6/24/2023,,7/2/2023,Rotted,,,Cutting,,,,,
Crepe Myrtle 2,6/24/2023,,6/24/2023,,7/10/2023,Rotted,,,Cutting,,,,,
Crepe Myrtle 3,6/24/2023,,6/24/2023,,7/10/2023,Rotted,#FB5F83,,Cutting,,,,,
Texas Persimmon 1,7/14/2023,,7/23/2023,7/30/2023,,Sprouted,,,,,,,,
Texas Persimmon 2,7/14/2023,,7/23/2023,8/7/2023,,Sprouted,,,,,,,,
Texas Persimmon 3,7/14/2023,,7/23/2023,8/1/2023,9/15/2023,Dried out,,,,,,,,
Texas Persimmon 4,7/14/2023,,7/23/2023,8/9/2023,,Sprouted,,,,,,,,
Magnolia 1,7/11/2023,,,,8/12/2023,Rotted,,,"Cutting.  Even though it came out of dormancy, i think the transplant away from the onion + mold + humidity shock eventually killed it",,,,,
Magnolia 2,10/13/2023,,11/5/2023,1/23/2024,,Sprouted,,,Collected seed from St Edwards.  Not many seeds found during this collection episode bc suspect were knocked off during intense storm,,,,,
Magnolia 3,9/28/2023,,12/3/2023,,1/25/2024,Discarded,,,"Collected seed from ABQ.  Been sitting in bag, nothing much happening . May require soil ",,,,,
Magnolia 4,9/28/2023,,12/3/2023,,2/25/2024,Dried out,,,"Collected seed from ABQ.  Been sitting in bag, nothing much happening . May require soil ",,,,,
Magnolia 5,9/28/2023,,12/3/2023,,,Germinating,,,"Collected seed from ABQ.  Been sitting in bag, nothing much happening . May require soil ",,,,,
Magnolia 6,9/28/2023,,12/3/2023,,,Germinating,,,"Collected seed from ABQ.  Been sitting in bag, nothing much happening . May require soil ",,,,,
Magnolia 11,9/28/2023,,1/25/2024,2/26/2024,,Sprouted,,,In magnolia 3's cup,,,,,
Magnolia 12,9/28/2023,,1/25/2024,,2/27/2024,Dried out,,,In magnolia 6's cup,,,,,
Magnolia 13,9/28/2023,,1/25/2024,2/16/2024,,Sprouted,,,In etrog7's cup,,,,,
Magnolia 14,9/28/2023,,1/25/2024,,,Germinating --> Sprouting,,,In etrog7's cup,,,,,
Magnolia 15,9/28/2023,,1/28/2024,2/15/2024,,Sprouted,,,In Magnolia 7's tiny cup,,,,,
Magnolia 7,12/30/2023,,12/31/2023,,2/3/2024,Cutting didnt take,,,Cutting from St Charles,,,,,
Magnolia 8,12/30/2023,,12/31/2023,,1/28/2024,Cutting didnt take,,,Cutting from st charles,,,,,
Magnolia 9,9/22/2023,,1/4/2024,1/23/2024,,Sprouted,,,Collected during walk w Fredi in albuquerque,,,,,
Magnolia 10,9/22/2023,,1/4/2024,,,Germinating -> Sprouting,,,Collected during walk w Fredi in albuquerque,,,,,
Magnolia 16,9/28/2023,,2/4/2024,,2/9/2024,Broke stem in soil,,,In sabal Palm 4's cup,,,,,
Desert Peach 1,7/2/2023,,7/23/2023,,7/14/2023,Dormant,,,dormant / undormant dates (not sure how we categorize this yet 7/2/2023	7/23/2023),,,,,
Texas Persimmon 5,7/14/2023,,7/29/2023,8/11/2023,,Sprouted,,,,,,,,
Texas Persimmon 6,7/14/2023,,7/29/2023,,8/7/2023,Rotted,,,,,,,,
Texas Persimmon 7,7/14/2023,,7/29/2023,8/11/2023,10/14/2023,Discarded,,,,,,,,
Texas Persimmon 8,7/14/2023,,7/29/2023,8/13/2023,,Sprouted,,,,,,,,
Texas Persimmon 9,7/14/2023,,7/29/2023,8/10/2023,12/3/2023,Rotted,#3E0033,,"Not sure but didnt do so well over thanksgiving, came back to it kinda losing its leaves and the remaining top one brown",,,,,
Texas Persimmon 10,7/14/2023,,7/29/2023,8/22/2023,,Sprouted,,,,,,,,
Texas Persimmon 11,7/14/2023,,,,7/29/2023,Discarded,,,"Broke root when planting, used another instead",,,,,
Texas Persimmon 12,7/14/2023,,8/7/2023,8/15/2023,,Sprouted,,,,,,,,
Texas Persimmon 13,7/14/2023,,8/11/2023,8/15/2023,12/3/2023,Discarded,,,Wasnt growing too fast and required the soil for other plants,,,,,
Texas Persimmon 14,7/14/2023,,8/11/2023,,8/20/2023,Rotted,,,,,,,,
Texas Persimmon 15,7/14/2023,,,,8/11/2023,Discarded,,,Taproot broke in paper towel ,,,,,
Texas Persimmon 16,7/14/2023,,,,8/23/2023,Discarded,,,,,,,,
Texas Persimmon 17,7/14/2023,,,,8/23/2023,Discarded,,,,,,,,
Texas Persimmon 18,7/14/2023,,,,8/23/2023,Discarded,,,,,,,,
Texas Persimmon 19,7/14/2023,,,,8/23/2023,Discarded,,,,,,,,
Texas Persimmon 20,7/14/2023,,,,8/5/2023,Discarded,,,,,,,,
Texas Persimmon 21,7/14/2023,,,,8/5/2023,Discarded,,,,,,,,
Texas Persimmon 22,7/14/2023,,,,8/5/2023,Discarded,,,,,,,,
Snake Plant 1,8/1/2023,,,,,Dormant,,,,,,,,
Palo Verde 1,7/30/2023,,8/3/2023,,8/8/2023,Disappeared from the soil,,,,,,,,
Palo Verde 2,8/3/2023,,8/6/2023,8/7/2023,,sprouted,,,,,,,,
Palo Verde 3,8/3/2023,,8/6/2023,8/7/2023,,sprouted,,,,,,,,
Palo Verde 4,8/3/2023,,8/6/2023,8/8/2023,,Sprouted,,,,,,,,
Palo Verde 5,8/3/2023,,8/8/2023,8/10/2023,8/17/2023,Dried out,,,"Developed crimp in the stem, upper part dried out",,,,,
Pineapple 4,8/11/2023,,8/11/2023,,,Dormant,,,"Found crown in pineapple bin at HEB, not attached to any pineapple",,,,,
Persimmon 7,12/27/2022,,8/11/2023,9/1/2023,12/15/2023,Shock,,,Finally died after falling off the window sill and getting its leaves shredded for a 2nd time,,,,,
San Pedro 1,9/12/2023,,9/12/2023,9/12/2023,,Sprouted,,,,,,,,
Honey Locust 1,9/24/2023,,9/24/2023,,10/2/2023,Moisture shock,,,Transplanted from AirBnB front yard,,,,,
